Date,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
2017-01-01,16.32,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-02,16.32,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-03,16.49,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-04,16.49,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-05,16.49,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-06,16.49,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-07,16.49,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-08,16.49,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-09,16.49,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-10,16.49,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-11,16.58,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-12,16.58,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-13,16.58,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-14,16.58,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-15,16.58,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-16,16.58,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-17,17.34,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-18,17.64,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-19,17.64,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-20,17.64,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-21,17.64,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-22,17.64,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-23,17.68,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-24,17.76,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-25,18.61,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-26,19.45,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-27,19.45,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-28,19.45,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-29,19.45,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-30,19.45,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-01-31,19.45,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.05,55.00
2017-02-01,20.60,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.11,73.40
2017-02-02,21.25,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.11,73.40
2017-02-03,21.87,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.11,73.40
2017-02-04,21.87,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.11,73.40
2017-02-05,21.87,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.11,73.40
2017-02-06,22.74,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.11,73.40
2017-02-07,23.18,1,0,580655400,4535600,3.5,2772000,585700000,-25000000,0.5,31601,11476,"2,517.00",1.11,73.40
