Date,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
2017-01-01,3.45,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5133542962,72482,1,0.00,1.05,55.00
2017-01-02,3.45,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5133542962,72482,1,0.00,1.05,55.00
2017-01-03,3.45,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5133542962,72482,1,0.00,1.05,55.00
2017-01-04,3.45,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-05,3.45,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-06,3.50,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,1.00,1.05,55.00
2017-01-07,3.50,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,1.00,1.05,55.00
2017-01-08,3.50,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-09,3.55,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-10,3.60,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-11,3.60,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-12,3.60,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-13,3.60,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-14,3.60,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-15,3.60,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-16,3.60,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-17,3.60,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-18,3.65,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-19,3.70,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-20,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-21,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-22,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-23,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,1.00,1.05,55.00
2017-01-24,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,1.00,1.05,55.00
2017-01-25,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-26,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-27,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-28,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-29,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-30,3.80,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-01-31,3.85,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.05,55.00
2017-02-01,3.85,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.11,73.40
2017-02-02,3.85,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.11,73.40
2017-02-03,3.85,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.11,73.40
2017-02-04,3.85,3,0,1683070,14791315,4,32000000,84344203,2162672,0.5009200031,72482,1,0.00,1.11,73.40
