Factor,Y,Y_Beijing,Y_Shanghai,A1,A2,B0,X1,X2,X3,X4,X5,X6,A3,A4,X7,X8,B1,A5,X9,A6,A7,X10,A8,A9,X11,X12,X13,X14
Factor Type,NA,NA,NA,S,S,S,S,I,I,I,I,I,I,I,I,I,I,I,I,M,M,M,M,M,I,E,E,T
Source,ICAP Allowance price explorer,ICAP Allowance price explorer,ICAP Allowance price explorer,ICAP Factsheet for Beijing and Shanghai,ICAP Factsheet for Beijing and Shanghai,ICAP Factsheet for Beijing and Shanghai,ICAP Factsheet for Beijing and Shanghai,Beijing Municipal Ecology and Environment Bureau and Shanghai Municipal Bureau of Ecology and Environment,Beijing Municipal Ecology and Environment Bureau and Shanghai Municipal Bureau of Ecology and Environment,ICAP Factsheet for Beijing and Shanghai,ICAP Factsheet for Beijing and Shanghai,Lyu (2021) and estimated from 2020 onwards using linear-fit and actuals for Beijing (BEA) from  bjets.com.cn,Beijing Municipal Ecology and Environment Bureau,Shanghai Municipal Bureau of Ecology and Environment,"Beijing Municipal Ecology and Environment Bureau, Shanghai Municipal Bureau of Ecology and Environment","Beijing Municipal Ecology and Environment Bureau, Shanghai Municipal Bureau of Ecology and Environment",ICAP Factsheet for Beijing and Shanghai,Wikipedia,computed,World Bank and focus-economics.com,FRED (MKTGDPCNA646NWDB) and Statista,World Bank Open Data and statista,World Bank Open Data and Statista,n/a computed binary variable,OECD,Statista,NOAA,Quantum Commodity Intelligence
Units,USD / ton,USD / ton,USD / ton,n/a,n/a,n/a,n/a,tCO2e,#,#,"Index (0,1)",tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,USD,n/a,Index (0.1),#,USD,USD,%,binary,binary,mg/m3,degC,tCO2e
Frequency,daily,daily,daily,various,various,various,various,ad-hoc,annual,semi-annual,ad-hoc,annual,annual,annual,annual,annual,ad-hoc,ad-hoc,daily,annual,quarterly,quarterly,annual,ad-hoc,ad-hoc,annnual,monthly,monthly
Data Management,Average of Beijing ETS and Shanghai ETS prices,"Discontinuity in series handled through cubic spline interpolation, forward filling end dates, backfilling early dates and removing market holidays (non-traded days)","Discontinuity in series handled through cubic spline interpolation, forward filling end dates, backfilling early dates and removing market holidays (non-traded days)","One per ETS; 2017-2023 (year-wise) for Beijing, ‘Phase Two’ for Shanghai. Finally concatenated into a string for China as a whole","One per ETS; 2017-2023 (year-wise) for Beijing, ‘Phase Two’ for Shanghai. Finally concatenated into a string for China as a whole",Concatenation of Beijing and Shanghai Identifiers,Concatenation of Beijing and Shanghai Identifiers,Indicator to show if reserve was utilized to regulate price or emissions. Denoted as amount of allowances bought or sold,"Forward fill, followed by backfill to make into continuous series","Forward fill, followed by backfill to make into continuous series",An index between 0 and 1 prepared by weighting sectoral additions using a sector weights dictionary,Pandas linear interpolation for the unavailable dates,"Forward filled; Cap is set in advance, but carried for the entire year","Forward filled; Cap is set in advance, but carried for the entire year","

Sum of the Beijing and Shanghai ETS Caps","Cap (previous year) - Cap (current year)
Cap = sum of Beijing and Shanghai caps","Max(5x trailing 6mo average price + USD 7,058) for Beijing,
(1x allowance price + USD 14,116) for Shanghai)",Names of the CCP Chairman between the dates they served,Assigned as 0.5 as the CCP is considered a centrist party,Backfilled from annual reported to daily frequency,Backfilled from quarterly reported to daily frequency,"The values from WBOpen Dat and Statista (for 2023, and quarterly) have been considered ahead of the value computed as GDP/Population, because only work force is considered in GDP per capita estimate",Backfilled from annual reported values,"1 if GDP decreases for three consecutive prior quarters, 0 otherwise",If there was any other prevailing carbon taxes in China during the period of the permit regulation,"Beijing’s air quality is typically the most reported climate hazard in China (as air quality is linked to extreme temperatures), and is hence used as a proxy for extreme climate events.  ",Backfilled from available values,Backfilled from available values
Date,Allowance price,Beijing ETS Allowance price,Shanghai ETS Allowance price,Compliance Period Identifier Bejijing,Compliance Period Identifier Shanghai,Compliance Period Identifier,Compliance Period Identifier (Encoded),Market Stability Action,Number of new free allowances Introduced,Number of new auctioned allowances,Weighted average sectoral abatement difficulty,Traded Volume,Cap Beijing,Cap Shanghai,Cap,Annual Cap Reduction,Penalty for Non-Compliance,Regime name,Regime type,Population,GDP,GDP/Capita,Inflation,Recession Indicator,Other Carbon tax,Beijing Air Quality Index,Average Global Temperature Anomaly in Celsius,Cumulative VCM market surplus by sector (Issuance minus retirement) tCO2e
2017-01-01,5.80,7.45,4.16,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,1.05,55.00
2017-01-02,5.80,7.45,4.16,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,1.05,55.00
2017-01-03,5.80,7.45,4.16,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,1.05,55.00
2017-01-04,5.46,6.42,4.50,2017,Phase Two,2017 | Phase Two,2,0,"203,570,000","7,430,000",4.21,"4,690,000","55,000,000","156,000,000","211,000,000","2,000,000","14,118",Xi Jinping,0.5,"1,400,000,000","12,310,491,333,980","8,817",1.52,0,6,58.78,1.05,55.00
